RecordID_Int,Basement,BasementGarage,Bedrooms,BasementType,ExternalWalls,FinishedBasement,Flooring,Fireplace,FullBathrooms,Grade,HalfBathrooms,Heating,NumberOfStories,ParcelNumber,Roof,SquareFootageFinishedLiving,StreetName,StreetNumber,Style,TotalRooms,Unit,UseCode,YearBuilt
1,0,0,4,No Basement,Wood,0,None,0,4,A,0,Forced Air,2.00,010001600,Metal,3672,MASSIE RD,600,2 Story,8,,Multipurpose Bldg (College),1920
2,0,,,,,0,,,,,,,,010005000,,,BARRACKS RD,2030,,,,Vacant Land,
3,1163,0,6,Walkout Basement,Brick Veneer,1018,Hardwood,2,4,A,1,Hot Water Radiator,2.00,010006000,Arch Shingles,3305,BARRACKS RD,2028,2 Story,10,,Single Family,1940
4,1699,0,5,Partial Basement,Brick Veneer,1468,Hardwood,3,4,A -,1,Hot Water Radiator,2.00,010007000,Slate,5474,DAIRY RD,1930,2 Sty Excellent,13,,Single Family,1939
5,0,,,,,0,,,,,,,,010008000,,,BARRACKS RD,1924,,,,Vacant Land,
6,1260,0,4,Cellar,Brick Veneer,,Hardwood,1,3,A -,1,Hot Water Radiator,2.00,010009000,Slate,3064,BARRACKS RD,1920,2 Sty Excellent,8,,Single Family,1939
7,1527,0,4,Full Basement,Hardy Board,1375,Hardwood,2,3,B++,2,Forced Air,1.50,010010000,Arch Shingles,2144,WESTVIEW RD,1851,1.5 Story,9,,Single Family,1950
8,2492,1,6,Partial Basement,Brick Veneer,1573,Hardwood,1,5,B +,0,Forced Air,1.75,010011000,Arch Shingles,4321,WESTVIEW RD,1855,1.5 Story,14,,Single Family,1954
9,,1,3,No Basement,Brick Veneer,,Hardwood,1,2,B++,0,Forced Air,1.0,010012000,Arch Shingles,2520,WESTVIEW RD,1857,Split-Level (Avg),8,,Single Family,1952
10,1671,0,5,Partial Basement,Brick/Masonry,1330,Hardwood,1,4,A -,2,Forced Air,1.50,010014000,Slate,2584,WESTVIEW RD,1885,1.5 Sty Excellent,11,,Single Family,1941
11,1166,0,4,Partial Basement,Brick Veneer,779,Hardwood,2,4,B +,0,Heat Pump,2.00,010015000,Shingles,2924,WESTVIEW RD,1889,2 Sty Excellent,11,,Single Family,1952
12,,0,4,No Basement,Wood,,Other,2,2,B++,0,Radiant,2.00,010016000,Shingles,2396,WESTVIEW RD,1891,2 Story,7,,Single Family,1940
13,1776,0,2,Full Basement,Brick Veneer,1170,Hardwood,2,4,A -,0,Forced Air,1.75,010017000,Arch Shingles,3108,WESTVIEW RD,1893,1.5 Sty (Avg),11,,Single Family-1 Conversion,1958
14,1770,0,7,Partial Basement,Brick Veneer,1574,Hardwood,2,6,B++,0,Forced Air,1.66,010017100,Arch Shingles,4492,WESTVIEW RD,1895,1.5 Story,19,,Single Family-2 Conversion,1958
15,,0,3,No Basement,Wood,,Hardwood,1,2,B,1,Heat Pump,2.00,010019000,Arch Shingles,2080,WESTVIEW RD,1890,2 Sty No Bsmt,6,,Single Family,2002
16,640,0,5,Partial Basement,Brick Veneer,640,Hardwood,1,4,A -,2,Forced Air,2.00,010020000,Arch Shingles,4368,WESTVIEW RD,1888,2 Story,12,,Single Family,1951
17,,0,3,No Basement,Brick Veneer,,Tile,1,3,A,1,Forced Air,1.00,010021000,Arch Shingles,2820,WESTVIEW RD,1884,1 Sty Excellent,8,,Single Family,1950
18,,0,5,No Basement,Brick Veneer,,Hardwood,2,4,A -,2,Heat Pump,1.75,010022000,Arch Shingles,3720,WESTVIEW RD,1882,1.5 Story,10,,Single Family,1970
19,,0,3,No Basement,Brick Veneer,,Hardwood,2,2,B +,1,Hot Water Radiator,1.75,010023000,Shingles,2743,WESTVIEW RD,1880,1.5 Story,9,,Single Family,1950
20,1360,0,4,Full Basement,Brick Veneer,927,Hardwood,1,3,B +,0,Hot Water Radiator,1.50,010024000,Arch Shingles,2258,WESTVIEW RD,1878,1.5 Story,10,,Single Family,1947
21,,0,4,No Basement,Wood,,Hardwood,1,3,A -,2,Heat Pump,1.66,010024A00,Arch Shingles,3783,WESTVIEW RD,1876,1.5 Story,11,,Single Family,2002
22,,0,1,No Basement,Wood,,Tile,0,1,C +,0,Forced Air,1.00,010026000,Shingles,544,WESTVIEW RD,1852,1 Story,3,,Single Family,1951
23,450,0,4,Partial Basement,Wood,,Hardwood,1,3,B +,0,Hot Water Radiator,1.00,010026000,Shingles,2900,WESTVIEW RD,1852,1 Story,8,,Single Family,1951
24,,0,3,No Basement,Brick Veneer,,Hardwood,2,3,B +,1,Forced Air,1.00,010027000,Arch Shingles,2321,FIELD RD,1863,1 Sty No Bsmt,7,,Single Family,1953
25,,0,3,No Basement,Vinyl,,W/W Carpet,2,2,B +,1,Forced Air,1.00,010028000,Shingles,2621,FIELD RD,1865,1 Sty No Bsmt,7,,Single Family,1953
26,,0,3,No Basement,Wood,,Hardwood,1,4,B +,0,Hot Water Radiator,1.50,010029000,Arch Shingles,3464,FIELD RD,1867,1.5 Story,7,,Single Family,1953
27,434,0,3,Cellar,Brick Veneer,,Hardwood,1,3,B +,0,Forced Air,1.5,010030000,Arch Shingles,3142,FIELD RD,1869,1.5 Sty (Avg),6,,Single Family,1953
28,1372,0,3,Partial Basement,Brick Veneer,,Hardwood,1,2,B +,0,Forced Air,1.00,010030100,Arch Shingles,1984,FIELD RD,1871,1 Story,7,,Single Family,1954
29,,0,4,No Basement,Brick Veneer,,Hardwood,2,2,B,1,Hot Water Radiator,1.00,010031000,Shingles,2574,FIELD RD,1873,1 Sty No Bsmt,11,,Single Family,1952
30,2230,0,7,Partial Basement,Brick Veneer,985,Hardwood,2,4,B +,1,Hot Water Radiator,1.00,010032000,Arch Shingles,2935,FIELD RD,1877,1 Sty w/ Bsmt,12,,Single Family,1952
31,1368,0,4,Walkout Basement,Brick Veneer,989,Hardwood,1,3,B,No dat,Forced Air,1.00,010033000,Shingles,1368,FIELD RD,1884,1 Sty (Avg),3,,Single Family-1 Conversion,1954
32,1472,0,5,Walkout Basement,Brick Veneer,1278,Hardwood,1,4,B++,1,Forced Air,1.00,010034000,Arch Shingles,2956,FIELD RD,1882,1.5 Story,12,,Single Family,1952
33,1141,0,3,Full Basement,Wood,519,Hardwood,2,2,B,1,Forced Air,1.50,010035000,Shingles,1560,FIELD RD,1874,1.5 Story,6,,Single Family,1953
